B,G,R,Label
244,239,228,White
5,19,241,Red
224,114,185,Violet
0,212,0,Green
3,18,0,Black
32,255,246,Yellow
250,251,231,White
120,0,60,Indigo
27,140,245,Orange
14,14,235,Red
17,30,23,Black
8,5,25,Black
231,231,253,White
0,241,213,Yellow
0,230,52,Green
251,225,246,White
15,8,244,Red
255,51,60,Blue
26,21,7,Black
34,237,244,Yellow
240,114,194,Violet
3,149,255,Orange
109,5,112,Purple
5,21,29,Black
236,85,192,Violet
18,234,234,Yellow
214,56,0,Blue
216,58,0,Blue
30,255,250,Yellow
16,15,13,Black
4,25,18,Black
220,102,199,Violet
3,15,23,Black
17,235,217,Yellow
112,20,87,Indigo
19,217,51,Green
17,13,19,Black
248,237,242,White
0,227,0,Green
250,228,255,White
252,236,233,White
252,226,248,White
26,220,0,Green
237,14,10,Blue
111,0,89,Indigo
228,233,238,White
5,5,233,Red
144,1,141,Purple
222,114,185,Violet
226,255,230,White
148,0,59,Indigo
121,14,78,Indigo
137,0,94,Indigo
0,23,9,Black
22,1,8,Black
221,80,214,Violet
227,243,239,White
126,5,114,Purple
14,195,49,Green
248,241,226,White
21,2,6,Black
27,12,27,Black
19,231,249,Yellow
244,237,226,White
20,15,233,Red
17,148,250,Orange
30,220,227,Yellow
29,184,31,Green
10,20,25,Black
117,0,95,Indigo
15,11,27,Black
2,12,235,Red
226,248,252,White
21,29,4,Black
30,30,11,Black
8,8,25,Black
22,21,24,Black
20,239,246,Yellow
242,0,37,Blue
8,137,255,Orange
9,122,247,Orange
17,131,255,Orange
44,244,38,Green
114,0,66,Indigo
201,45,0,Blue
147,0,127,Purple
232,234,227,White
11,12,234,Red
19,127,252,Orange
2,14,238,Red
0,232,221,Yellow
8,1,255,Red
13,17,239,Red
10,3,27,Black
15,2,7,Black
217,99,212,Violet
43,255,18,Green
30,155,255,Orange
216,104,216,Violet
118,10,130,Purple
6,11,18,Black
255,229,236,White
1,17,15,Black
14,18,21,Black
1,131,241,Orange
221,108,210,Violet
14,242,255,Yellow
112,9,74,Indigo
230,115,217,Violet
31,219,255,Yellow
229,253,229,White
197,14,23,Blue
112,12,140,Purple
236,249,255,White
4,1,251,Red
10,6,248,Red
0,255,255,Yellow
212,103,215,Violet
11,121,255,Orange
232,98,213,Violet
146,6,122,Purple
55,200,53,Green
0,232,255,Yellow
39,242,241,Yellow
17,13,25,Black
250,57,0,Blue
132,3,147,Purple
248,10,52,Blue
124,17,94,Indigo
46,193,51,Green
234,12,19,Blue
10,224,221,Yellow
213,83,196,Violet
202,84,208,Violet
5,20,235,Red
19,18,232,Red
217,97,206,Violet
30,250,255,Yellow
230,104,214,Violet
226,249,231,White
13,18,242,Red
202,84,213,Violet
17,1,241,Red
139,0,69,Indigo
0,241,39,Green
0,150,255,Orange
13,30,24,Black
37,237,253,Yellow
23,140,252,Orange
116,0,80,Indigo
27,19,27,Black
30,23,17,Black
12,0,21,Black
10,212,52,Green
0,16,234,Red
0,228,251,Yellow
35,219,34,Green
19,16,23,Black
241,249,238,White
22,236,18,Green
135,10,82,Indigo
3,157,248,Orange
11,10,239,Red
255,232,246,White
242,240,228,White
11,5,16,Black
37,234,227,Yellow
3,214,255,Yellow
115,15,71,Indigo
17,217,40,Green
0,249,212,Yellow
13,19,230,Red
224,90,218,Violet
19,141,237,Orange
255,235,239,White
7,135,255,Orange
183,28,0,Blue
3,142,251,Orange
123,0,114,Purple
4,10,232,Red
30,29,9,Black
129,3,141,Purple
235,253,225,White
226,227,247,White
219,46,0,Blue
16,19,26,Black
10,2,255,Red
114,3,58,Indigo
251,235,249,White
25,136,255,Orange
0,240,229,Yellow
4,25,4,Black
8,20,25,Black
0,244,255,Yellow
25,5,25,Black
238,22,9,Blue
0,218,0,Green
249,241,239,White
20,216,255,Yellow
235,244,225,White
149,10,63,Indigo
3,122,255,Orange
241,240,255,White
133,7,92,Indigo
129,6,123,Purple
13,13,245,Red
249,246,227,White
229,232,252,White
1,4,3,Black
253,225,230,White
148,0,140,Purple
248,234,228,White
5,12,247,Red
7,26,1,Black
111,0,140,Purple
239,118,218,Violet
14,14,244,Red
1,20,232,Red
111,0,135,Purple
117,19,76,Indigo
29,30,0,Black
232,244,237,White
17,16,17,Black
248,245,225,White
117,0,56,Indigo
0,154,241,Orange
5,12,230,Red
132,12,88,Indigo
22,136,245,Orange
38,239,255,Yellow
149,0,56,Indigo
1,242,254,Yellow
125,0,95,Indigo
243,230,240,White
53,195,17,Green
253,16,53,Blue
23,233,255,Yellow
19,14,236,Red
235,255,235,White
145,0,127,Purple
15,156,248,Orange
0,255,219,Yellow
30,130,235,Orange
15,239,4,Green
6,141,255,Orange
38,209,56,Green
23,11,2,Black
14,212,40,Green
20,225,52,Green
121,18,91,Indigo
249,27,2,Blue
230,243,236,White
237,254,239,White
0,180,0,Green
1,225,0,Green
1,10,244,Red
6,157,248,Orange
182,48,55,Blue
18,254,241,Yellow
135,0,139,Purple
195,0,21,Blue
215,120,217,Violet
8,20,238,Red
1,26,10,Black
37,252,255,Yellow
218,46,47,Blue
112,0,138,Purple
6,4,240,Red
192,27,16,Blue
254,243,255,White
255,5,40,Blue
129,0,145,Purple
0,237,255,Yellow
236,247,252,White
225,109,197,Violet
12,123,255,Orange
0,150,255,Orange
13,148,240,Orange
60,230,0,Green
0,120,255,Orange
27,223,0,Green
56,236,0,Green
7,160,255,Orange
201,0,50,Blue
9,8,235,Red
191,46,0,Blue
200,92,219,Violet
0,210,57,Green
19,248,255,Yellow
6,130,255,Orange
0,197,52,Green
140,0,115,Purple
226,229,237,White
235,108,192,Violet
235,225,228,White
50,247,19,Green
26,149,255,Orange
4,1,255,Red
233,235,250,White
24,156,244,Orange
12,220,58,Green
7,12,18,Black
1,16,11,Black
7,156,255,Orange
15,183,58,Green
129,0,119,Purple
2,20,241,Red
1,2,5,Black
118,0,70,Indigo
18,23,1,Black
2,135,255,Orange
200,96,203,Violet
250,228,243,White
224,102,214,Violet
5,17,235,Red
236,8,0,Blue
252,230,228,White
133,0,124,Purple
129,5,89,Indigo
16,15,232,Red
215,105,199,Violet
8,255,216,Yellow
245,247,243,White
4,142,255,Orange
249,230,248,White
18,14,233,Red
230,225,255,White
243,11,54,Blue
245,17,6,Blue
228,228,229,White
213,0,53,Blue
19,14,17,Black
21,233,241,Yellow
124,0,128,Purple
6,24,0,Black
216,17,8,Blue
121,4,111,Purple
205,17,52,Blue
253,30,50,Blue
2,1,21,Black
9,130,255,Orange
245,230,252,White
132,0,62,Indigo
0,204,56,Green
211,83,209,Violet
17,144,255,Orange
142,0,78,Indigo
147,0,108,Purple
216,91,195,Violet
2,3,255,Red
133,5,121,Purple
150,0,74,Indigo
246,231,228,White
181,16,41,Blue
8,199,44,Green
0,3,248,Red
203,8,51,Blue
129,0,109,Purple
0,249,44,Green
27,3,7,Black
210,103,182,Violet
3,155,246,Orange
3,135,236,Orange
122,0,63,Indigo
16,24,11,Black
188,0,0,Blue
250,226,245,White
10,7,252,Red
142,0,91,Indigo
2,255,252,Yellow
3,127,255,Orange
133,7,120,Purple
120,13,61,Indigo
0,5,232,Red
216,103,187,Violet
0,141,255,Orange
214,104,188,Violet
0,221,223,Yellow
27,21,7,Black
253,253,254,White
13,8,21,Black
245,229,251,White
0,225,255,Yellow
235,239,245,White
231,226,235,White
255,233,238,White
23,18,6,Black
139,1,81,Indigo
180,44,39,Blue
57,246,0,Green
136,5,121,Purple
17,11,232,Red
117,0,119,Purple
233,0,51,Blue
125,3,70,Indigo
193,0,0,Blue
139,8,140,Purple
18,10,4,Black
22,140,238,Orange
14,150,241,Orange
254,251,244,White
236,90,205,Violet
147,9,140,Purple
23,9,5,Black
0,126,255,Orange
16,148,247,Orange
10,6,255,Red
238,252,238,White
30,215,239,Yellow
11,5,12,Black
204,83,185,Violet
22,28,13,Black
234,107,182,Violet
145,2,124,Purple
138,0,76,Indigo
133,10,127,Purple
237,86,215,Violet
24,199,34,Green
0,244,15,Green
3,255,242,Yellow
3,9,251,Red
18,9,13,Black
140,0,148,Purple
36,219,27,Green
25,214,255,Yellow
130,0,112,Purple
24,122,255,Orange
0,121,252,Orange
0,237,255,Yellow
185,29,13,Blue
133,0,111,Purple
254,51,18,Blue
23,2,21,Black
245,229,255,White
234,85,197,Violet
37,243,57,Green
236,232,253,White
227,246,227,White
3,150,249,Orange
28,147,255,Orange
0,212,214,Yellow
0,248,0,Green
8,0,28,Black
227,236,248,White
7,0,255,Red
17,143,255,Orange
201,80,206,Violet
146,18,62,Indigo
208,120,195,Violet
232,111,207,Violet
111,10,137,Purple
204,34,1,Blue
238,118,185,Violet
235,228,228,White
1,17,17,Black
0,221,229,Yellow
23,142,255,Orange
0,143,238,Orange
0,140,250,Orange
23,151,248,Orange
121,0,73,Indigo
123,12,118,Purple
206,88,212,Violet
241,238,229,White
227,229,233,White
53,222,0,Green
0,10,251,Red
247,246,251,White
204,102,207,Violet
238,38,57,Blue
217,100,204,Violet
123,0,125,Purple
12,22,1,Black
113,0,124,Purple
210,96,204,Violet
29,20,3,Black
0,224,45,Green
206,114,193,Violet
251,243,239,White
200,88,202,Violet
23,19,30,Black
32,255,242,Yellow
12,1,246,Red
20,13,244,Red
9,9,253,Red
0,144,251,Orange
14,14,17,Black
17,30,25,Black
129,0,56,Indigo
46,207,33,Green
7,7,255,Red
0,129,255,Orange
122,0,83,Indigo
210,85,189,Violet
20,128,238,Orange
28,6,25,Black
0,129,251,Orange
194,44,15,Blue
138,15,135,Purple
210,88,186,Violet
7,8,255,Red
6,22,21,Black
131,7,67,Indigo
231,230,226,White
112,18,147,Purple
123,20,135,Purple
16,2,247,Red
12,7,22,Black
0,234,255,Yellow
128,0,118,Purple
0,122,255,Orange
17,7,21,Black
31,199,22,Green
230,238,249,White
2,17,234,Red
234,0,0,Blue
14,18,241,Red
226,89,209,Violet
16,20,236,Red
1,154,252,Orange
136,0,95,Indigo
225,120,202,Violet
0,235,37,Green
247,231,234,White
1,243,50,Green
9,10,255,Red
249,254,228,White
39,183,35,Green
238,46,24,Blue
220,105,185,Violet
35,214,255,Yellow
237,109,197,Violet
9,0,250,Red
32,206,8,Green
12,11,243,Red
249,250,239,White
51,202,46,Green
0,232,212,Yellow
0,128,255,Orange
3,9,241,Red
237,233,246,White
0,243,21,Green
22,17,22,Black
5,197,19,Green
25,152,255,Orange
249,243,229,White
9,26,30,Black
18,128,239,Orange
147,0,60,Indigo
199,42,5,Blue
19,223,248,Yellow
33,197,0,Green
18,14,238,Red
15,6,230,Red
193,36,0,Blue
39,238,48,Green
210,91,205,Violet
240,31,37,Blue
245,253,248,White
9,159,251,Orange
14,122,235,Orange
5,140,255,Orange
250,0,0,Blue
207,0,12,Blue
230,85,186,Violet
27,160,255,Orange
24,13,8,Black
142,0,66,Indigo
27,19,15,Black
4,0,18,Black
30,235,211,Yellow
0,144,243,Orange
135,16,78,Indigo
230,105,186,Violet
0,185,1,Green
53,196,0,Green
121,0,86,Indigo
130,0,70,Indigo
7,14,239,Red
18,3,248,Red
34,234,54,Green
34,207,0,Green
17,12,244,Red
11,30,30,Black
16,248,255,Yellow
60,237,14,Green
2,159,242,Orange
20,1,230,Red
146,0,110,Purple
148,0,111,Purple
38,249,37,Green
214,43,31,Blue
44,220,6,Green
12,17,6,Black
236,228,232,White
255,0,0,Blue
12,0,1,Black
133,18,123,Purple
254,0,60,Blue
18,25,6,Black
17,247,16,Green
2,13,1,Black
0,142,255,Orange
144,14,78,Indigo
18,127,254,Orange
30,13,12,Black
22,220,234,Yellow
12,14,241,Red
29,12,23,Black
237,93,190,Violet
10,158,247,Orange
24,0,13,Black
29,255,227,Yellow
228,234,231,White
253,230,234,White
4,126,255,Orange
248,255,225,White
3,1,29,Black
228,253,248,White
6,4,255,Red
17,6,240,Red
203,51,46,Blue
115,0,115,Purple
2,160,237,Orange
0,15,247,Red
229,91,208,Violet
43,239,60,Green
19,18,235,Red
10,211,215,Yellow
4,8,255,Red
148,13,89,Indigo
127,0,76,Indigo
1,11,245,Red
136,0,144,Purple
126,18,59,Indigo
14,129,246,Orange
13,8,13,Black
227,245,246,White
235,250,225,White
131,0,57,Indigo
7,20,248,Red
148,7,57,Indigo
33,232,255,Yellow
20,9,15,Black
16,148,255,Orange
5,218,0,Green
141,0,74,Indigo
142,13,144,Purple
238,93,195,Violet
13,126,254,Orange
0,231,215,Yellow
7,152,255,Orange
134,0,130,Purple
252,233,254,White
40,203,0,Green
21,215,0,Green
133,9,141,Purple
192,39,55,Blue
53,224,56,Green
40,231,0,Green
60,214,0,Green
12,11,239,Red
204,102,206,Violet
246,243,249,White
120,0,74,Indigo
0,153,248,Orange
122,9,58,Indigo
239,56,59,Blue
36,255,214,Yellow
48,225,3,Green
6,6,21,Black
232,0,0,Blue
203,50,41,Blue
41,229,3,Green
28,242,234,Yellow
144,0,132,Purple
21,234,8,Green
21,222,241,Yellow
20,6,239,Red
32,229,19,Green
248,248,226,White
26,124,255,Orange
247,16,15,Blue
216,7,0,Blue
10,235,255,Yellow
4,18,10,Black
249,244,245,White
232,0,29,Blue
231,239,251,White
17,138,255,Orange
4,29,30,Black
30,184,14,Green
18,236,222,Yellow
227,118,208,Violet
27,19,4,Black
0,255,242,Yellow
254,252,249,White
10,4,236,Red
11,125,255,Orange
7,223,52,Green
229,87,219,Violet
246,226,231,White
254,250,225,White
19,28,11,Black
229,53,37,Blue
25,27,2,Black
10,132,255,Orange
0,199,23,Green
228,120,191,Violet
7,10,254,Red
210,80,213,Violet
255,252,249,White
3,1,254,Red
25,158,255,Orange
129,0,121,Purple
202,43,13,Blue
23,17,10,Black
137,0,134,Purple
255,22,0,Blue
131,0,79,Indigo
207,105,189,Violet
5,16,245,Red
18,16,25,Black
254,231,238,White
3,6,241,Red
13,14,243,Red
200,113,198,Violet
12,1,231,Red
120,0,121,Purple
231,245,248,White
234,84,200,Violet
4,20,234,Red
3,8,21,Black
187,38,0,Blue
2,232,33,Green
8,8,12,Black
125,5,129,Purple
4,17,28,Black
7,1,248,Red
3,149,253,Orange
17,126,244,Orange
16,21,25,Black
237,226,252,White
26,7,11,Black
28,5,14,Black
17,13,233,Red
29,28,19,Black
0,219,255,Yellow
255,229,232,White
26,23,15,Black
203,0,48,Blue
251,241,249,White
224,0,19,Blue
4,12,7,Black
148,0,110,Purple
8,20,246,Red
0,17,241,Red
251,226,239,White
40,250,237,Yellow
24,28,3,Black
14,255,211,Yellow
29,22,22,Black
41,253,21,Green
4,6,239,Red
129,16,70,Indigo
53,181,43,Green
28,217,255,Yellow
15,10,232,Red
233,236,237,White
19,10,243,Red
129,0,84,Indigo
27,7,27,Black
8,10,255,Red
215,82,198,Violet
15,143,243,Orange
207,27,31,Blue
12,127,241,Orange
234,103,180,Violet
16,2,250,Red
9,243,255,Yellow
247,249,228,White
0,211,255,Yellow
148,0,134,Purple
240,82,217,Violet
224,120,185,Violet
3,0,247,Red
197,37,32,Blue
26,211,249,Yellow
0,120,251,Orange
219,24,0,Blue
13,7,250,Red
14,15,30,Black
34,231,255,Yellow
230,245,231,White
28,16,26,Black
244,0,30,Blue
7,13,238,Red
139,16,122,Purple
228,97,210,Violet
6,3,242,Red
7,145,240,Orange
231,7,59,Blue
145,0,74,Indigo
16,25,20,Black
17,2,250,Red
54,181,17,Green
218,0,57,Blue
236,239,244,White
236,238,242,White
21,244,49,Green
5,10,13,Black
231,5,30,Blue
45,253,6,Green
230,243,229,White
238,239,254,White
251,249,226,White
20,12,239,Red
59,190,0,Green
201,89,182,Violet
30,215,255,Yellow
23,212,21,Green
118,6,144,Purple
22,120,255,Orange
139,19,70,Indigo
9,233,18,Green
237,98,205,Violet
30,255,251,Yellow
9,23,17,Black
27,27,2,Black
233,105,189,Violet
140,11,143,Purple
236,100,208,Violet
140,1,142,Purple
124,0,77,Indigo
0,28,3,Black
252,254,228,White
16,3,250,Red
246,22,57,Blue
226,24,6,Blue
122,0,114,Purple
220,0,0,Blue
0,255,220,Yellow
121,0,69,Indigo
253,248,233,White
119,15,94,Indigo
15,255,251,Yellow
128,0,138,Purple
39,201,27,Green
0,127,255,Orange
244,242,233,White
4,148,240,Orange
32,254,255,Yellow
0,238,1,Green
251,240,233,White
192,14,4,Blue
2,124,244,Orange
226,50,36,Blue
0,128,239,Orange
29,29,15,Black
10,220,242,Yellow
236,225,227,White
20,2,1,Black
30,184,0,Green
223,82,214,Violet
21,1,12,Black
211,90,216,Violet
245,248,235,White
17,16,231,Red
0,255,233,Yellow
192,21,10,Blue
18,21,1,Black
0,140,255,Orange
17,15,240,Red
0,185,23,Green
133,1,111,Purple
126,0,84,Indigo
234,104,205,Violet
204,0,53,Blue
53,207,11,Green
0,1,251,Red
20,20,29,Black
20,150,255,Orange
19,157,249,Orange
125,0,143,Purple
15,2,241,Red
142,0,146,Purple
138,18,64,Indigo
5,1,255,Red
226,38,0,Blue
15,221,255,Yellow
241,226,231,White
0,200,30,Green
0,122,254,Orange
240,89,184,Violet
225,108,216,Violet
122,14,68,Indigo
0,132,242,Orange
16,17,246,Red
121,10,67,Indigo
26,255,214,Yellow
126,6,58,Indigo
20,19,245,Red
15,12,248,Red
254,243,253,White
7,2,12,Black
23,255,238,Yellow
0,255,47,Green
30,129,252,Orange
14,12,25,Black
31,251,230,Yellow
44,255,24,Green
5,23,1,Black
0,203,0,Green
25,121,255,Orange
253,250,252,White
0,135,253,Orange
15,201,0,Green
146,0,67,Indigo
231,25,57,Blue
130,2,131,Purple
6,144,255,Orange
237,12,35,Blue
144,6,83,Indigo
24,132,255,Orange
16,154,255,Orange
12,1,13,Black
0,180,45,Green
21,28,17,Black
7,16,27,Black
11,233,210,Yellow
0,133,237,Orange
20,21,6,Black
12,187,44,Green
255,6,0,Blue
142,19,131,Purple
8,10,255,Red
4,13,238,Red
127,13,128,Purple
237,15,42,Blue
146,5,132,Purple
14,16,9,Black
40,255,236,Yellow
253,252,226,White
6,1,255,Red
131,0,130,Purple
1,16,19,Black
191,58,13,Blue
211,107,189,Violet
2,3,239,Red
247,238,229,White
205,112,186,Violet
0,138,255,Orange
214,112,180,Violet
233,234,245,White
129,17,118,Purple
17,255,221,Yellow
222,89,204,Violet
227,82,196,Violet
204,30,42,Blue
23,24,19,Black
231,119,197,Violet
232,238,228,White
115,0,136,Purple
29,141,255,Orange
10,30,6,Black
245,59,0,Blue
40,234,26,Green
204,11,0,Blue
147,19,67,Indigo
117,0,142,Purple
27,214,210,Yellow
220,81,204,Violet
21,255,255,Yellow
10,16,13,Black
8,11,2,Black
129,0,125,Purple
0,241,255,Yellow
25,219,255,Yellow
24,11,23,Black
233,243,254,White
1,7,234,Red
0,141,249,Orange
17,213,26,Green
22,210,221,Yellow
29,11,21,Black
11,17,230,Red
116,16,88,Indigo
59,246,5,Green
2,128,240,Orange
33,255,223,Yellow
230,56,28,Blue
16,7,30,Black
245,238,248,White
16,15,236,Red
119,3,86,Indigo
7,8,250,Red
9,148,235,Orange
15,12,236,Red
15,9,245,Red
25,145,254,Orange
138,11,74,Indigo
219,0,50,Blue
240,226,235,White
21,30,11,Black
110,13,128,Purple
5,22,28,Black
24,122,246,Orange
25,145,237,Orange
3,20,9,Black
239,227,230,White
28,225,225,Yellow
6,9,239,Red
220,30,0,Blue
36,255,222,Yellow
188,54,51,Blue
125,0,141,Purple
121,12,56,Indigo
12,22,10,Black
227,230,232,White
210,37,55,Blue
6,14,26,Black
13,218,0,Green
9,25,20,Black
203,111,184,Violet
0,16,233,Red
0,229,38,Green
15,231,241,Yellow
225,19,0,Blue
113,0,130,Purple
20,13,233,Red
12,15,241,Red
201,81,204,Violet
24,221,4,Green
16,3,5,Black
7,136,243,Orange
10,13,250,Red
224,40,19,Blue
245,232,240,White
240,248,233,White
201,112,198,Violet
131,5,84,Indigo
13,8,8,Black
230,98,192,Violet
2,3,9,Black
3,181,0,Green
0,244,255,Yellow
251,35,14,Blue
22,236,217,Yellow
11,224,0,Green
19,144,255,Orange
3,184,0,Green
17,157,245,Orange
4,7,4,Black
5,210,218,Yellow
143,9,141,Purple
134,11,139,Purple
230,238,227,White
6,0,27,Black
112,0,80,Indigo
0,224,251,Yellow
4,134,255,Orange
245,8,57,Blue
130,0,145,Purple
144,0,62,Indigo
20,128,247,Orange
39,187,0,Green
213,116,219,Violet
132,10,140,Purple
17,255,241,Yellow
0,180,40,Green
59,207,28,Green
229,238,250,White
216,54,18,Blue
12,2,242,Red
203,110,208,Violet
129,5,92,Indigo
18,11,233,Red
22,137,240,Orange
4,13,231,Red
22,7,0,Black
